epoch,train,valid
96,0.004083,0.004250
97,0.004091,0.004254
98,0.004076,0.004254
99,0.004067,0.004231
100,0.004060,0.004239
101,0.004067,0.004237
102,0.004060,0.004213
103,0.004052,0.004206
104,0.004035,0.004201
105,0.004032,0.004196
106,0.004029,0.004200
107,0.004026,0.004189
108,0.004013,0.004191
109,0.004011,0.004194
110,0.004022,0.004174
111,0.004009,0.004167
112,0.003985,0.004155
113,0.003987,0.004151
114,0.003981,0.004158
115,0.003974,0.004127
116,0.003952,0.004117
117,0.003939,0.004108
118,0.003928,0.004094
119,0.003909,0.004086
120,0.003914,0.004070
121,0.003894,0.004057
122,0.003876,0.004047
123,0.003867,0.004030
124,0.003860,0.004023
125,0.003847,0.004013
126,0.003840,0.003999
127,0.003823,0.003999
128,0.003809,0.003989
129,0.003805,0.003993
130,0.003784,0.003962
131,0.003767,0.003946
132,0.003737,0.003943
133,0.003749,0.003935
134,0.003718,0.003897
135,0.003701,0.003904
136,0.003707,0.003885
137,0.003695,0.003873
138,0.003674,0.003861
139,0.003645,0.003843
140,0.003630,0.003806
141,0.003609,0.003802
142,0.003596,0.003785
143,0.003576,0.003779
144,0.003573,0.003738
145,0.003557,0.003720
146,0.003538,0.003700
147,0.003520,0.003693
148,0.003508,0.003665
149,0.003491,0.003669
150,0.003478,0.003641
151,0.003475,0.003642
152,0.003482,0.003623
153,0.003462,0.003597
154,0.003439,0.003585
155,0.003425,0.003597
156,0.003422,0.003563
157,0.003395,0.003558
158,0.003370,0.003531
159,0.003360,0.003510
160,0.003344,0.003494
161,0.003321,0.003485
162,0.003317,0.003465
163,0.003297,0.003468
164,0.003266,0.003420
165,0.003264,0.003421
166,0.003258,0.003421
167,0.003253,0.003423
168,0.003225,0.003362
169,0.003197,0.003373
170,0.003220,0.003372
171,0.003182,0.003354
172,0.003173,0.003326
173,0.003157,0.003328
174,0.003134,0.003279
175,0.003125,0.003261
176,0.003099,0.003244
177,0.003065,0.003214
178,0.003055,0.003187
179,0.003032,0.003170
180,0.003000,0.003163
181,0.003012,0.003155
182,0.002967,0.003100
183,0.003060,0.003197
184,0.002966,0.003091
185,0.002924,0.003041
186,0.002900,0.003008
187,0.002881,0.002996
188,0.002889,0.003034
189,0.002849,0.002969
190,0.002828,0.002971
191,0.002803,0.002922
192,0.002771,0.002901
193,0.003270,0.003255
194,0.002866,0.002975
195,0.002771,0.002900
196,0.002720,0.002839
197,0.002671,0.002798
198,0.002650,0.002771
199,0.002952,0.003009
200,0.002706,0.002812
201,0.002707,0.002789
202,0.002610,0.002749
203,0.002598,0.002731
204,0.002609,0.002712
205,0.002573,0.002804
206,0.002620,0.002819
207,0.002527,0.002664
208,0.002508,0.002642
209,0.002485,0.002628
210,0.002491,0.002640
211,0.002460,0.002586
212,0.002465,0.002632
213,0.002580,0.002675
214,0.002446,0.002580
215,0.002425,0.002543
216,0.002401,0.002534
217,0.002384,0.002511
218,0.002375,0.002499
219,0.002350,0.002500
220,0.002348,0.002483
221,0.002353,0.002501
222,0.002353,0.002486
223,0.002338,0.002493
224,0.002326,0.002440
225,0.002331,0.002620
226,0.002342,0.002497
227,0.002290,0.002421
228,0.002282,0.002408
229,0.002282,0.002406
230,0.002280,0.002410
231,0.002270,0.002398
232,0.002273,0.002406
233,0.002282,0.002412
234,0.002709,0.002784
235,0.002436,0.002539
236,0.002300,0.002448
237,0.002266,0.002394
238,0.002239,0.002392
239,0.002255,0.002385
240,0.002249,0.002386
241,0.002230,0.002354
242,0.002208,0.002342
243,0.002213,0.002342
244,0.002208,0.002337
245,0.002220,0.002373
246,0.002493,0.002569
247,0.002247,0.002348
248,0.002184,0.002332
249,0.002177,0.002330
250,0.002175,0.002313
251,0.002175,0.002300
252,0.002170,0.002304
253,0.002165,0.002286
254,0.002149,0.002268
255,0.002154,0.002305
256,0.002155,0.002306
257,0.002135,0.002282
258,0.002135,0.002269
259,0.002125,0.002277
260,0.002131,0.002221
261,0.002108,0.002213
262,0.002096,0.002219
263,0.002093,0.002220
264,0.002105,0.002206
265,0.002096,0.002257
266,0.002097,0.002199
267,0.002063,0.002189
268,0.002046,0.002190
269,0.002039,0.002196
270,0.002049,0.002172
271,0.002057,0.002212
272,0.002035,0.002150
273,0.002036,0.002150
274,0.002014,0.002139
275,0.001999,0.002147
276,0.002239,0.002362
277,0.002239,0.002324
278,0.002052,0.002155
279,0.002006,0.002159
280,0.002005,0.002118
281,0.001997,0.002122
282,0.002019,0.002091
283,0.001966,0.002077
284,0.001964,0.002089
285,0.001971,0.002104
286,0.001948,0.002109
287,0.001939,0.002050
288,0.001925,0.002062
289,0.001918,0.002048
290,0.001929,0.002094
291,0.001929,0.002054
292,0.001930,0.002018
293,0.001897,0.002011
294,0.001903,0.002005
295,0.001890,0.002005
296,0.001892,0.002016
297,0.001897,0.002046
298,0.001898,0.002037
299,0.001875,0.001998
300,0.001895,0.001995
301,0.001885,0.001974
302,0.001871,0.001967
303,0.001859,0.001986
304,0.001868,0.001999
305,0.001889,0.001980
306,0.001861,0.001952
307,0.001852,0.001959
308,0.001835,0.001990
309,0.001860,0.001942
310,0.001836,0.001937
311,0.001834,0.001934
312,0.001823,0.001938
313,0.001819,0.001935
314,0.001818,0.001934
315,0.001815,0.002005
316,0.001813,0.001914
317,0.001805,0.001904
318,0.001813,0.001926
319,0.001837,0.001926
320,0.001820,0.001901
321,0.001788,0.001935
322,0.001801,0.001944
323,0.001801,0.001963
324,0.001818,0.001953
325,0.001808,0.001910
326,0.001815,0.001923
327,0.001819,0.001907
328,0.001800,0.001929
329,0.001793,0.001905
330,0.001792,0.001907
331,0.001779,0.001891
332,0.001768,0.001917
333,0.001788,0.001889
334,0.001781,0.001883
335,0.001769,0.001886
336,0.001774,0.001881
337,0.001756,0.001900
338,0.001762,0.001878
339,0.001753,0.001880
340,0.001741,0.001883
341,0.001757,0.001883
342,0.001782,0.001918
343,0.001774,0.001862
344,0.001753,0.001859
345,0.001750,0.001858
346,0.001750,0.001912
347,0.001764,0.001866
348,0.001752,0.001852
349,0.001729,0.001852
350,0.001732,0.001866
351,0.001739,0.001864
352,0.001739,0.001836
353,0.001732,0.001857
354,0.001741,0.001851
355,0.001746,0.001883
356,0.001744,0.001837
357,0.001731,0.001837
358,0.001733,0.001848
359,0.001744,0.001841
360,0.001723,0.001831
361,0.001718,0.001826
362,0.001710,0.001826
363,0.001712,0.001827
364,0.001715,0.001825
365,0.001704,0.001864
366,0.001707,0.001816
367,0.001715,0.001814
368,0.001698,0.001830
369,0.001716,0.001815
370,0.001696,0.001804
371,0.001697,0.001848
372,0.001698,0.001811
373,0.001699,0.001815
374,0.001692,0.001816
375,0.001677,0.001806
376,0.001696,0.001797
377,0.001700,0.001822
378,0.001700,0.001796
379,0.001687,0.001786
380,0.001676,0.001827
381,0.001692,0.001784
382,0.001683,0.001781
383,0.001666,0.001767
384,0.001660,0.001794
385,0.001658,0.001770
386,0.001673,0.001787
387,0.001665,0.001789
388,0.001651,0.001773
389,0.001652,0.001738
390,0.001643,0.001738
391,0.001646,0.001756
392,0.001633,0.001734
393,0.001633,0.001730
394,0.001621,0.001725
395,0.001632,0.001749
396,0.001621,0.001712
397,0.001620,0.001728
398,0.001626,0.001718
399,0.001629,0.001739
400,0.001622,0.001716
401,0.001605,0.001754
402,0.001598,0.001720
403,0.001605,0.001722
404,0.001616,0.001699
405,0.001603,0.001710
406,0.001590,0.001706
407,0.001595,0.001710
408,0.001579,0.001692
409,0.001601,0.001703
410,0.001577,0.001676
411,0.001580,0.001667
412,0.001578,0.001670
413,0.001558,0.001675
414,0.001558,0.001664
415,0.001562,0.001648
416,0.001542,0.001659
417,0.001556,0.001651
418,0.001552,0.001640
419,0.001555,0.001626
420,0.001533,0.001623
421,0.001532,0.001645
422,0.001530,0.001627
423,0.001511,0.001640
424,0.001529,0.001645
425,0.001523,0.001608
426,0.001495,0.001606
427,0.001494,0.001615
428,0.001521,0.001594
429,0.001493,0.001584
430,0.001547,0.001600
431,0.001499,0.001596
432,0.001465,0.001557
433,0.001471,0.001553
434,0.001470,0.001560
435,0.001452,0.001578
436,0.001481,0.001563
437,0.001456,0.001549
438,0.001450,0.001538
439,0.001440,0.001561
440,0.001455,0.001555
441,0.001461,0.001557
442,0.001447,0.001543
443,0.001424,0.001524
444,0.001417,0.001536
445,0.001424,0.001522
446,0.001439,0.001510
447,0.001432,0.001516
448,0.001414,0.001512
449,0.001411,0.001526
450,0.001384,0.001470
451,0.001382,0.001481
452,0.001391,0.001477
453,0.001400,0.001478
454,0.001390,0.001467
455,0.001383,0.001462
456,0.001397,0.001501
457,0.001374,0.001450
458,0.001355,0.001446
459,0.001351,0.001491
460,0.001375,0.001447
461,0.001369,0.001460
462,0.001346,0.001430
463,0.001343,0.001437
464,0.001360,0.001451
465,0.001349,0.001431
466,0.001343,0.001441
467,0.001344,0.001441
468,0.001361,0.001414
469,0.001330,0.001411
470,0.001327,0.001437
471,0.001352,0.001428
472,0.001360,0.001430
473,0.001332,0.001397
474,0.001312,0.001420
475,0.001285,0.001371
476,0.001281,0.001388
477,0.001288,0.001390
478,0.001281,0.001391
479,0.001301,0.001410
480,0.001317,0.001367
481,0.001322,0.001362
482,0.001251,0.001343
483,0.001253,0.001331
484,0.001265,0.001336
485,0.001236,0.001340
486,0.001236,0.001322
487,0.001241,0.001312
488,0.001235,0.001330
489,0.001255,0.001357
490,0.001226,0.001298
491,0.001208,0.001308
492,0.001222,0.001333
493,0.001262,0.001310
494,0.001213,0.001280
495,0.001192,0.001325
496,0.001220,0.001292
497,0.001201,0.001272
498,0.001183,0.001276
499,0.001298,0.001368
