,exp_id,epochs,batch_size,lr,lr_scheduler,optimizer,kernel_size,stgcn,tpcnn,data_id,n,num_gridcells,prob,neighborhood,timewindow,eta,num_features,run_time,train_mse,train_mae,train_kld,valid_mse,valid_mae,valid_kld
0,0,500,32,0.01,True,Adam,3,0,0,4,1000,20,0.6,2,100,1.5,5,9.483978313446045,0.00043303920421749353,0.004368498846888542,3.2025104904174806,0.0004499342092978103,0.004417993926576206,3.2062505313328336
1,1,500,32,0.01,False,Adam,3,0,0,4,1000,20,0.6,2,100,1.5,5,8.870714507102967,0.0004308611270971596,0.00437792332842946,3.2024373626708984,0.0004486505017017147,0.004459828071828399,3.2061942986079623
2,2,500,32,0.01,True,Adam,3,2,0,4,1000,20,0.6,2,100,1.5,5,10.749456470966338,0.00044945115339942274,0.005023220758885145,3.2770540809631346,0.00045652384453985306,0.004732612986117601,3.2357519013541087
3,3,500,32,0.01,False,Adam,3,2,0,4,1000,20,0.6,2,100,1.5,5,8.594538617610931,0.0004504892637487501,0.004972599018365145,3.26581618309021,0.00045658643440609533,0.0047093054412731105,3.2385679313114712
4,4,500,32,0.01,True,Adam,3,10,0,4,1000,20,0.6,2,100,1.5,5,10.887356026172638,0.0010263008414767682,0.012342167682945729,3.4288250064849852,0.0010253141767212323,0.01183852766241346,3.4034718445369174
5,5,500,32,0.01,False,Adam,3,10,0,4,1000,20,0.6,2,100,1.5,5,8.33349343252182,0.00048430530354380606,0.007296488787978887,3.4072900581359864,0.00048619144529636415,0.00668411615437695,3.3830714225769043
6,6,500,32,0.01,True,Adam,3,0,2,4,1000,20,0.6,2,100,1.5,5,7.754696143627167,0.00042512668645940723,0.0055537383072078225,3.306837491989136,0.0004477977636270225,0.005691320768424443,3.3062534672873363
7,7,500,32,0.01,False,Adam,3,0,2,4,1000,20,0.6,2,100,1.5,5,6.272319613933563,0.0004966922965832054,0.00912468831986189,3.4487172508239747,0.0005286592141991216,0.009236287724758898,3.4432616574423656
8,8,500,32,0.01,True,Adam,3,2,2,4,1000,20,0.6,2,100,1.5,5,8.420371968746185,0.0004769613116513938,0.007565565109252929,3.4022896480560303,0.00047921174804547,0.0074105522861438134,3.3946498802730014
9,9,500,32,0.01,False,Adam,3,2,2,4,1000,20,0.6,2,100,1.5,5,8.545821919441224,0.000427739272126928,0.005858014300465584,3.3459655380249025,0.0004390422587416002,0.005380787953202214,3.2944438457489014
